iter	RMSE
0	15871.71706
1	15193.64449
2	14570.99873
3	14003.86893
4	13471.0975
5	12992.45716
6	12579.28792
7	12163.32703
8	11796.85109
9	11458.23388
10	11139.92475
11	10862.32571
12	10594.20799
13	10354.32422
14	10138.92607
15	9943.516681
16	9755.350221
17	9576.454801
18	9418.660356
19	9275.393195
20	9124.798797
21	9005.278775
22	8877.258291
23	8750.136612
24	8641.581441
25	8526.418684
26	8417.749839
27	8320.362079
28	8228.666921
29	8138.151692
30	8059.353076
31	7975.421513
32	7891.619107
33	7825.704456
34	7772.31182
35	7718.351929
36	7654.579831
37	7597.912103
38	7550.999509
39	7498.846085
40	7461.17373
41	7417.779488
42	7372.980357
43	7330.153062
44	7289.59248
45	7250.174195
46	7212.991631
47	7171.31209
48	7134.710474
49	7100.976065
50	7093.979555
51	7060.536343
52	7054.744094
53	7014.874878
54	7008.054296
55	6978.047455
56	6973.522652
57	6942.015818
58	6936.322176
59	6912.786032
60	6895.85703
61	6867.18006
62	6845.518404
63	6840.957942
64	6816.715288
65	6783.800303
66	6765.533387
67	6745.259093
68	6739.801947
69	6735.75991
70	6731.865174
71	6711.816311
72	6687.29309
73	6659.931532
74	6654.074654
75	6635.166122
76	6609.619047
77	6585.357051
78	6581.023082
79	6563.88854
80	6553.42921
81	6535.468147
82	6532.131377
83	6512.750141
84	6496.309925
85	6477.702178
86	6462.454364
87	6455.804829
88	6452.389409
89	6439.408646
90	6415.121428
91	6400.68359
92	6396.543563
93	6382.146367
94	6366.299591
95	6363.359937
96	6351.011613
97	6343.485153
98	6325.619633
99	6306.212334
100	6291.34502
101	6273.899507
102	6268.2063
103	6263.925716
104	6258.678401
105	6239.335396
106	6236.44339
107	6222.597547
108	6209.875912
109	6194.116359
110	6167.653746
111	6164.120769
112	6148.670668
113	6134.430206
114	6123.459441
115	6108.008841
116	6095.583552
117	6090.927614
118	6076.930281
119	6073.389914
120	6065.456686
121	6062.186634
122	6035.832649
123	6023.216214
124	6016.736466
125	6008.685102
126	5995.647558
127	5989.936357
128	5987.077696
129	5972.365829
130	5970.241811
131	5959.296792
132	5946.535431
133	5936.880659
134	5921.443917
135	5910.390914
136	5899.953855
137	5889.61745
138	5881.580896
139	5867.494534
140	5856.65044
141	5850.327513
142	5840.195029
143	5828.620361
144	5812.877271
145	5803.07715
146	5795.876015
147	5793.232008
148	5783.561944
149	5780.720673
150	5772.914845
151	5768.34797
152	5760.765666
153	5758.296726
154	5748.355433
155	5742.674952
156	5740.273996
