iter	Passed	Remaining
0	24	24667
1	47	23518
2	69	22931
3	90	22447
4	111	22277
5	136	22572
6	160	22741
7	184	22847
8	206	22736
9	229	22677
10	252	22668
11	276	22725
12	298	22678
13	321	22655
14	345	22657
15	367	22602
16	389	22517
17	412	22516
18	435	22471
19	458	22449
20	481	22450
21	504	22409
22	526	22366
23	551	22443
24	575	22425
25	598	22414
26	624	22494
27	649	22539
28	672	22519
29	695	22487
30	717	22427
31	740	22397
32	761	22304
33	784	22296
34	806	22224
35	827	22171
36	849	22106
37	871	22056
38	892	21995
39	914	21939
40	935	21886
41	956	21828
42	978	21785
43	1000	21745
44	1022	21698
45	1044	21665
46	1066	21620
47	1088	21598
48	1110	21547
49	1132	21513
50	1158	21560
51	1182	21565
52	1205	21535
53	1228	21520
54	1250	21484
55	1272	21451
56	1310	21685
57	1342	21800
58	1365	21779
59	1388	21756
60	1413	21755
61	1434	21704
62	1455	21645
63	1476	21594
64	1497	21540
65	1518	21495
66	1540	21455
67	1563	21429
68	1585	21388
69	1606	21346
70	1627	21291
71	1648	21248
72	1670	21216
73	1691	21165
74	1713	21127
75	1734	21084
76	1754	21036
77	1776	20993
78	1796	20949
79	1820	20933
80	1841	20894
81	1863	20858
82	1884	20824
83	1906	20790
84	1928	20762
85	1951	20741
86	1978	20767
87	2005	20780
88	2030	20779
89	2053	20760
90	2076	20737
91	2098	20714
92	2120	20680
93	2144	20664
94	2168	20659
95	2190	20630
96	2212	20596
97	2234	20563
98	2256	20536
99	2278	20502
100	2300	20474
101	2322	20448
102	2347	20440
103	2369	20417
104	2392	20393
105	2415	20372
106	2438	20350
107	2461	20326
108	2483	20303
109	2505	20274
110	2528	20254
111	2555	20264
112	2579	20246
113	2601	20216
114	2623	20192
115	2646	20165
116	2669	20146
117	2695	20145
118	2717	20117
119	2740	20098
120	2764	20081
121	2786	20056
122	2809	20029
123	2831	20003
124	2855	19988
125	2879	19974
126	2902	19950
127	2925	19927
128	2947	19899
129	2970	19880
130	2994	19862
131	3015	19831
132	3038	19804
133	3062	19791
134	3085	19767
135	3107	19740
136	3129	19713
137	3152	19693
138	3177	19683
139	3202	19669
140	3223	19635
141	3244	19606
142	3265	19571
143	3288	19545
144	3309	19515
145	3331	19487
146	3353	19458
147	3375	19430
148	3399	19416
149	3421	19387
150	3444	19365
151	3468	19348
152	3490	19325
153	3514	19304
154	3537	19284
155	3563	19277
156	3586	19257
157	3609	19233
158	3631	19209
159	3653	19183
160	3677	19162
161	3699	19136
162	3722	19116
163	3746	19097
164	3768	19071
165	3790	19045
166	3814	19027
167	3836	19002
168	3859	18979
169	3882	18955
170	3906	18936
171	3930	18921
172	3952	18893
173	3974	18868
174	3997	18844
175	4019	18820
176	4042	18794
177	4064	18769
178	4086	18742
179	4108	18716
180	4131	18694
181	4154	18670
182	4176	18646
183	4199	18625
184	4224	18608
185	4245	18579
186	4267	18554
187	4289	18525
188	4311	18498
189	4339	18500
190	4362	18479
191	4384	18452
192	4407	18428
193	4430	18409
194	4452	18382
195	4474	18355
196	4496	18329
197	4519	18304
198	4541	18279
199	4564	18259
200	4586	18231
201	4607	18203
202	4629	18175
203	4651	18149
204	4672	18121
205	4694	18093
206	4716	18066
207	4737	18040
208	4759	18012
209	4781	17986
210	4803	17961
211	4826	17938
212	4850	17922
213	4873	17900
214	4895	17873
215	4917	17849
216	4940	17826
217	4963	17806
218	4986	17784
219	5008	17758
220	5031	17734
221	5054	17711
222	5076	17687
223	5098	17663
224	5122	17644
225	5145	17621
226	5168	17598
227	5190	17575
228	5213	17553
229	5239	17541
230	5261	17516
231	5283	17489
232	5305	17464
233	5326	17437
234	5350	17416
235	5372	17392
236	5394	17366
237	5415	17339
238	5437	17313
239	5460	17290
240	5483	17270
241	5507	17251
242	5529	17226
243	5551	17199
244	5574	17178
245	5596	17154
246	5618	17128
247	5640	17102
248	5662	17077
249	5684	17052
250	5706	17027
251	5728	17004
252	5750	16978
253	5771	16951
254	5793	16926
255	5815	16899
256	5838	16880
257	5861	16856
258	5882	16829
259	5904	16804
260	5926	16779
261	5948	16756
262	5970	16731
263	5994	16710
264	6016	16687
265	6039	16665
266	6062	16642
267	6083	16615
268	6105	16591
269	6127	16567
270	6149	16541
271	6171	16516
272	6192	16490
