iter	RMSE
0	12955.98307
1	12477.99905
2	12023.58153
3	11601.66765
4	11207.04189
5	10842.83054
6	10521.30738
7	10226.5364
8	9944.785495
9	9681.940094
10	9445.690495
11	9228.649176
12	9034.218565
13	8860.762941
14	8687.95146
15	8512.260964
16	8364.744874
17	8234.879939
18	8100.359082
19	7987.170732
20	7884.058702
21	7778.089049
22	7695.912392
23	7608.937612
24	7530.1652
25	7444.36259
26	7375.6382
27	7302.058645
28	7241.523106
29	7179.175949
30	7120.355708
31	7063.653439
32	7013.946959
33	6954.150488
34	6905.575819
35	6856.292541
36	6807.294566
37	6764.203367
38	6718.873662
39	6680.273475
40	6638.469979
41	6604.729062
42	6575.586943
43	6542.618569
44	6501.168761
45	6472.020921
46	6439.794136
47	6405.68092
48	6390.163949
49	6358.44334
50	6330.294388
51	6300.609169
52	6273.182598
53	6247.867291
54	6236.612615
55	6217.026756
56	6193.122992
57	6184.063483
58	6161.543146
59	6136.288407
60	6116.088686
61	6090.129615
62	6067.590556
63	6048.665594
64	6027.655548
65	6022.574887
66	6006.267761
67	5973.467149
68	5953.001005
69	5938.4285
70	5920.907314
71	5899.541727
72	5876.223664
73	5861.41882
74	5846.848696
75	5842.341059
76	5824.063668
77	5801.428569
78	5788.329811
79	5772.867981
80	5765.809509
81	5755.058293
82	5745.558417
83	5734.38269
84	5721.227144
85	5711.427273
86	5699.35056
87	5684.647573
88	5666.371437
89	5656.227235
90	5631.309955
91	5622.135638
92	5612.537067
93	5609.61991
94	5601.204634
95	5591.219761
96	5580.36081
97	5576.948856
98	5567.550407
99	5564.430029
100	5555.215561
101	5551.52519
102	5547.894296
103	5538.90923
104	5536.384754
105	5525.942236
106	5514.691831
107	5510.62698
108	5500.355214
109	5497.601532
110	5487.634559
111	5482.756013
112	5467.040157
113	5453.98858
114	5441.86184
115	5433.010912
116	5430.312688
117	5421.158606
118	5408.896701
119	5398.345095
120	5396.10722
121	5393.629391
122	5387.896502
123	5383.028524
124	5380.257804
125	5372.292827
126	5361.205839
127	5358.466982
128	5349.823346
129	5322.726331
130	5319.364205
131	5314.901597
132	5299.128403
133	5282.484996
134	5274.672755
135	5264.020987
136	5252.983586
137	5244.26123
138	5241.749153
139	5226.265218
140	5218.724482
141	5216.190857
142	5207.64309
143	5199.292323
144	5196.804444
145	5190.426306
146	5188.424042
147	5175.606085
148	5171.159936
149	5163.095724
150	5149.842659
151	5146.861768
152	5140.601309
153	5132.749658
154	5126.660028
155	5124.468418
156	5122.601442
157	5115.124197
158	5106.6321
159	5104.741764
160	5099.45475
161	5092.556973
162	5090.701863
163	5086.152297
164	5076.590073
165	5070.044887
166	5068.042028
167	5061.968562
168	5059.153118
169	5050.102758
170	5043.417123
171	5021.041588
172	5019.182443
173	5016.93348
174	5014.074283
175	5008.035477
176	5001.969608
177	4995.345263
178	4977.989354
179	4975.980735
180	4974.242799
181	4968.868341
182	4964.084329
183	4958.910253
184	4957.229228
185	4951.61942
186	4948.086555
187	4940.987531
188	4934.997156
189	4933.381782
190	4927.995782
191	4926.431526
192	4922.728692
193	4915.91553
194	4911.164797
195	4909.311496
196	4908.003573
197	4900.706264
198	4888.77986
199	4877.604127
200	4870.288402
201	4869.010075
202	4862.942082
203	4860.675103
204	4855.949061
205	4854.733041
206	4847.470399
207	4842.919287
208	4841.735664
209	4835.304794
210	4833.265958
211	4829.510207
212	4823.457247
213	4818.739881
214	4815.804443
215	4814.17623
216	4808.36964
217	4803.521921
218	4793.214822
219	4789.004304
220	4783.215601
221	4782.112899
222	4780.055924
223	4771.712051
224	4768.055888
225	4766.532415
226	4762.288425
227	4748.837748
228	4746.456523
229	4739.947808
230	4734.697079
231	4732.849528
232	4724.535321
233	4723.481377
234	4719.51359
235	4714.580819
236	4713.554677
237	4701.724724
238	4692.702556
239	4690.847401
240	4670.72209
241	4669.72504
242	4666.842484
243	4658.716944
244	4649.169314
245	4645.215641
246	4642.780312
247	4638.046748
248	4637.075548
249	4635.420044
250	4626.106987
251	4622.814256
252	4617.226168
253	4612.916192
254	4608.109781
255	4607.174075
256	4605.818844
257	4602.678481
258	4594.123867
259	4592.714754
260	4586.913508
261	4585.906906
262	4584.9344
263	4575.278478
264	4574.33506
265	4569.911087
266	4564.200152
267	4562.925961
268	4559.019168
269	4557.477296
270	4553.336445
271	4550.079694
272	4544.86473
273	4543.24424
274	4540.6088
275	4535.833226
276	4530.420401
277	4523.323518
278	4513.908626
279	4510.953525
280	4506.211688
281	4505.037065
282	4500.807337
283	4497.761263
284	4493.982269
285	4490.698097
286	4489.241444
287	4484.875738
288	4481.547547
289	4480.702114
290	4472.137341
291	4467.469508
292	4462.551897
293	4458.217408
294	4456.447331
295	4454.133042
296	4453.302708
297	4445.751338
298	4444.637182
299	4439.670577
300	4435.294115
301	4434.056875
302	4433.198836
303	4429.239783
304	4426.545514
305	4423.51413
306	4421.82879
307	4420.115443
308	4411.182063
309	4407.825982
310	4394.398334
311	4393.074659
312	4385.394554
313	4384.595191
314	4379.287909
315	4376.409656
316	4372.762602
317	4366.339145
318	4365.095998
319	4359.662807
320	4347.641583
321	4346.864427
322	4343.986249
323	4339.889846
324	4334.314045
325	4333.254883
326	4329.820756
327	4329.058837
328	4324.88768
329	4315.066201
330	4307.860937
331	4304.420463
332	4297.438262
333	4294.331065
334	4290.938537
335	4287.756308
336	4286.972648
337	4283.291863
338	4282.287145
339	4277.283278
340	4275.899647
341	4268.71511
342	4261.291497
343	4257.517421
344	4256.195128
345	4252.938711
346	4251.790547
347	4248.427263
348	4246.242723
349	4243.38227
350	4242.662904
351	4241.562688
352	4238.531213
353	4232.589872
354	4230.332623
355	4226.523499
356	4224.527558
357	4218.401652
358	4213.460584
359	4212.766995
360	4203.522808
361	4198.469359
362	4194.076441
363	4190.659126
364	4189.333115
365	4180.461339
366	4179.502112
367	4178.823649
368	4176.617998
369	4173.890428
370	4169.579652
371	4167.01338
372	4166.018723
373	4158.747002
374	4158.004847
375	4152.351129
376	4149.5115
377	4148.794112
378	4148.100204
379	4147.424405
380	4144.35626
381	4142.446841
382	4139.426598
383	4138.768796
384	4134.292583
385	4133.167598
386	4122.188605
387	4119.467271
388	4116.23849
389	4112.189541
390	4110.63096
391	4108.231232
392	4102.538434
393	4101.535526
394	4097.322142
395	4095.562697
396	4094.497779
397	4092.251418
398	4090.276154
399	4089.112218
400	4086.382032
401	4082.781445
402	4081.658132
403	4080.50428
404	4078.054003
405	4075.942839
406	4068.66595
407	4067.818317
408	4064.584226
409	4062.528934
410	4060.219287
411	4059.166639
412	4056.931689
413	4054.152348
414	4051.525292
415	4049.602288
416	4046.672929
417	4046.037632
418	4043.456494
419	4042.83975
420	4040.660484
421	4040.062534
422	4039.48321
423	4038.917982
424	4036.397468
425	4019.673749
426	4017.076755
427	4014.511146
428	4011.269191
429	4007.645281
430	4002.147898
431	4001.088182
432	3998.845718
433	3996.917156
434	3995.246699
435	3988.413905
436	3984.60028
437	3982.6712
438	3981.827986
439	3977.091165
440	3973.640313
441	3971.193797
442	3970.633246
443	3969.103737
444	3965.134755
445	3959.056646
446	3953.703665
447	3952.78378
448	3948.467828
449	3945.832706
450	3945.240133
451	3942.496197
452	3933.292557
453	3929.640901
454	3928.455024
455	3925.163858
456	3921.706966
457	3919.31448
458	3917.746914
459	3914.481895
460	3912.618929
461	3911.721759
462	3908.818835
463	3907.530823
464	3903.487688
465	3900.630105
466	3899.502086
467	3896.339808
468	3894.963852
469	3894.131044
470	3888.0458
471	3887.25234
472	3883.174613
473	3879.103887
474	3878.577111
475	3876.551007
476	3863.094819
477	3859.306388
478	3857.209054
479	3853.366943
480	3852.549837
481	3848.657694
482	3843.878272
483	3833.605303
484	3832.110409
485	3829.314105
486	3828.520192
487	3828.005042
488	3827.125688
489	3826.44385
490	3825.120186
491	3824.240956
492	3821.762461
493	3815.880029
494	3813.009515
495	3808.175591
496	3805.613706
497	3804.180126
498	3800.293067
499	3797.107871
500	3796.600221
501	3794.774152
502	3793.969236
503	3793.475732
504	3785.168728
505	3783.287592
506	3780.677783
507	3770.693806
508	3768.905675
509	3766.945895
510	3763.958348
511	3762.421276
512	3759.649204
513	3757.140411
514	3756.26339
515	3755.780055
516	3753.962409
517	3752.435634
518	3744.408142
519	3743.609298
520	3742.08778
521	3739.095062
522	3731.742993
523	3729.388229
524	3725.264594
525	3724.594548
526	3724.033494
527	3723.56263
528	3716.540701
529	3714.429091
530	3712.107364
531	3711.28128
532	3708.065947
533	3706.441869
534	3703.315439
535	3701.905669
536	3699.657357
537	3694.942476
538	3690.539837
539	3689.88263
540	3688.737978
541	3688.279447
542	3684.998219
543	3682.584042
544	3682.044227
545	3680.493182
546	3679.666343
547	3677.077769
548	3676.321494
549	3671.426301
550	3669.903019
551	3669.458154
552	3667.042163
553	3663.811075
554	3661.73052
555	3661.014148
556	3657.206974
557	3655.610556
558	3652.926114
559	3649.613953
560	3647.501024
561	3646.442945
562	3644.285609
563	3641.775352
564	3639.211772
565	3637.769939
566	3637.339593
567	3632.253714
568	3627.451681
569	3626.666528
570	3626.207145
571	3623.94357
572	3623.17689
573	3621.463311
574	3620.003431
575	3618.944384
576	3618.181928
577	3616.545755
578	3615.920448
579	3615.466181
580	3611.974703
581	3602.598091
582	3601.144162
583	3598.88628
584	3597.087323
585	3595.095568
586	3594.298172
587	3591.782572
588	3589.610947
589	3586.469145
590	3583.076583
591	3581.432384
592	3579.135962
593	3578.20753
594	3574.398846
595	3570.53889
596	3569.89949
597	3567.020822
598	3565.013806
599	3563.376111
600	3562.805748
601	3560.843444
602	3560.432724
603	3559.774766
604	3559.333231
605	3556.471946
606	3554.809079
607	3551.888871
608	3551.2537
609	3547.855941
610	3547.17985
611	3544.054992
612	3541.883094
613	3540.826209
614	3537.837569
615	3535.842529
616	3534.252513
617	3531.995426
618	3529.828941
619	3527.560274
620	3525.880541
621	3522.820398
622	3521.651141
623	3519.534257
624	3518.739031
625	3518.348584
626	3516.83795
627	3515.452654
628	3513.906536
629	3511.9689
630	3511.351769
631	3509.201851
632	3508.548931
633	3507.216811
634	3505.900298
635	3505.52389
636	3504.283292
637	3501.707172
638	3499.897808
639	3497.956137
640	3497.397796
641	3495.768194
642	3494.252503
643	3484.662951
644	3483.334164
645	3481.497867
646	3480.068799
647	3479.235982
648	3478.683868
649	3476.387932
650	3474.721448
651	3469.101551
652	3467.585698
653	3467.217029
654	3466.624338
655	3465.152947
656	3463.783583
657	3459.961514
658	3459.036977
659	3458.35607
660	3456.410375
661	3455.263768
662	3452.333392
663	3446.335194
664	3445.920225
665	3445.561757
666	3436.957573
667	3434.329372
668	3432.31045
669	3430.314615
670	3429.131116
671	3427.693402
672	3427.34352
673	3426.760256
674	3426.151558
675	3423.352501
676	3421.469371
677	3420.643836
678	3417.174498
679	3416.791053
680	3415.647654
681	3413.544553
682	3411.990047
683	3410.20359
684	3406.912127
685	3404.671965
686	3403.603535
687	3398.277737
688	3397.939925
689	3394.110281
690	3391.873067
691	3391.22825
692	3388.976784
693	3388.461279
694	3387.108692
695	3385.825183
696	3385.245325
697	3384.889679
698	3384.43442
699	3382.719638
700	3381.232591
701	3380.100444
702	3379.754646
703	3373.640656
704	3367.860042
705	3367.523985
706	3367.197297
707	3366.87865
708	3366.569947
709	3365.129048
710	3364.825165
711	3355.700077
712	3354.909699
713	3353.63021
714	3350.784956
715	3350.238568
716	3341.605081
717	3339.519413
718	3338.206491
719	3337.745587
720	3335.083402
721	3333.661416
722	3331.718887
723	3330.184242
724	3329.016327
725	3325.617072
726	3324.724298
727	3324.321299
728	3323.362296
729	3321.857878
730	3320.8462
731	3319.521364
732	3317.566812
733	3316.408189
734	3315.270988
735	3312.91572
736	3311.644759
737	3309.895872
738	3308.727699
739	3308.204326
740	3306.07163
741	3305.570562
742	3303.67558
743	3302.413425
744	3301.295379
745	3299.39729
746	3298.537048
747	3296.361933
748	3294.544591
749	3293.816671
750	3292.273363
751	3286.920878
752	3285.290409
753	3282.55443
754	3280.714131
755	3279.146405
756	3277.734478
757	3276.386597
758	3275.974919
759	3274.968227
760	3273.542514
761	3272.87636
762	3272.584887
763	3270.896576
764	3269.358646
765	3267.094509
766	3265.890317
767	3257.773095
768	3257.144625
769	3253.565685
770	3251.33538
771	3249.959008
772	3245.530802
773	3245.103884
774	3244.278925
775	3242.780486
776	3241.699701
777	3240.001628
778	3238.487478
779	3237.02093
780	3236.628035
781	3236.343039
782	3235.603697
783	3234.416389
784	3233.09634
785	3231.322139
786	3227.923522
787	3227.422995
788	3225.432601
789	3224.511879
790	3220.626309
791	3220.349673
792	3219.025246
793	3218.350171
794	3217.581449
795	3216.739566
796	3214.684875
797	3211.115544
798	3209.132155
799	3194.699608
800	3194.26207
801	3192.70565
802	3190.221257
803	3184.646702
804	3183.779797
805	3182.279828
806	3181.52547
807	3180.38107
808	3178.060938
809	3177.617627
810	3177.176601
811	3175.064541
812	3174.601748
813	3173.21297
814	3172.7437
815	3172.197354
816	3170.642962
817	3170.232315
818	3169.133197
819	3167.478487
820	3166.248145
821	3164.624989
822	3164.351648
823	3163.178917
824	3162.227435
825	3161.459398
826	3161.064499
827	3158.502031
828	3156.449104
829	3154.213608
830	3153.472159
831	3153.206162
832	3151.572604
833	3148.217448
834	3147.537567
835	3145.447668
836	3144.59197
837	3142.299313
838	3139.844542
839	3138.995155
840	3138.709181
841	3137.239696
842	3136.839757
843	3136.12831
844	3134.249196
845	3132.672756
846	3130.874297
847	3129.727169
848	3129.064445
849	3127.294951
850	3126.491579
851	3125.987554
852	3124.157709
853	3123.904008
854	3123.170052
855	3122.238653
856	3121.364765
857	3119.980277
858	3118.777581
859	3117.808106
860	3117.048682
861	3115.486709
862	3114.16411
863	3113.108751
864	3111.281164
865	3110.399917
866	3109.986987
867	3101.497036
868	3101.117775
869	3099.884716
870	3099.486231
871	3098.771263
872	3097.897108
873	3096.545331
874	3096.025719
875	3094.794998
876	3094.546106
877	3093.533432
878	3092.730184
879	3091.244377
880	3090.83443
881	3090.444735
882	3088.889178
883	3084.810281
884	3082.399779
885	3082.155609
886	3080.841749
887	3079.650771
888	3078.872754
889	3077.727703
890	3077.130038
891	3074.909783
892	3074.378887
893	3073.491049
894	3072.119788
895	3071.171372
896	3070.603664
897	3069.854061
898	3068.708571
899	3067.740003
900	3066.64537
901	3065.474398
902	3064.529952
903	3064.291069
904	3063.088368
905	3061.839452
906	3061.401613
907	3059.626398
908	3058.58596
909	3056.427804
910	3055.663919
911	3052.044284
912	3050.713003
913	3043.876394
914	3043.50263
915	3043.267979
916	3041.594653
917	3040.483332
918	3039.058005
919	3035.253581
920	3029.44947
921	3029.218739
922	3027.913213
923	3027.561812
924	3026.164551
925	3025.694593
926	3025.278578
927	3024.303126
928	3023.682522
929	3023.460717
930	3022.398623
931	3021.099251
932	3020.02837
933	3016.76299
934	3016.372572
935	3015.702621
936	3014.657011
937	3014.288916
938	3012.818353
939	3011.338473
940	3010.808257
941	3008.145248
942	3007.270344
943	3006.446925
944	3004.797951
945	3004.28923
946	3002.874225
947	3001.904027
948	3000.163175
949	2999.937827
950	2999.319332
951	2998.600437
952	2998.193366
953	2996.472235
954	2994.934587
955	2993.57456
956	2993.225503
957	2993.005631
958	2992.116703
959	2991.106817
960	2989.73067
961	2988.480852
962	2987.783424
963	2986.106273
964	2984.783802
965	2984.568657
966	2982.716951
967	2982.272447
968	2981.28349
969	2980.159735
970	2978.626325
971	2975.092378
972	2974.752584
973	2973.743631
974	2972.245165
975	2972.033451
976	2970.814551
977	2969.076713
978	2968.392517
979	2967.72789
980	2967.275134
981	2966.942958
982	2964.248496
983	2962.133601
984	2960.857539
985	2959.174534
986	2957.712844
987	2956.421678
988	2951.770239
989	2951.166748
990	2950.610096
991	2949.943147
992	2949.734699
993	2947.729795
994	2947.344717
995	2946.77871
996	2945.867089
997	2944.955968
998	2944.630033
999	2943.986045
